"gene","min_ari","max_ari","ave_ari","moved:total reads","average_moved","total_reads","total_edpl","branch_length","pairwise_percent_identity","ave_phylo_div","Convex Phylum-Taxa in Tree","Total Taxa in Tree","Phylo Diversity","Abundance Weighted Phylo Diversity"
"COG0013",0.786629581318247,1,0.807966623186422,0.318290752882659,1407.8,9160,495.413,229.496,54.8,5.48129,27,1591,54.6128,1.57344
"COG0014",1,1,1,0.215676141257537,500.8,2359,63.7335,211.3525,52.2,3.54354,22,1323,37.3527,1.49048
"COG0021",0.356234078594017,1,0.835828421947835,0.230091348737238,428.2,1870,39.229,219.618,52.3,3.25348,20,1290,30.7631,1.85121
"COG0028",0.931359970317825,1,0.989671839851862,0.299970149253731,2009.8,6982,215.745,257.3675,50.7,6.20754,21,1487,53.9148,1.39644
"COG0034",0.965301619203641,1,0.972241295362913,0.35266323024055,821,2435,109.985,210.7371,49,5.2842,16,1422,42.3868,2.60253
"COG0036",1,1,1,0.274346234309623,1049.1,3940,187.577,248.8333,55.9,7.40286,16,1453,70.0764,2.06126
"COG0037",1,1,1,0.281795433218642,900.9,3405,741.511,0,21,16.6798,12,2076,234.43,5.29594
"COG0041",0.830337799120082,1,0.983033779912008,0.337389033942559,646.1,1965,40.6762,156.1823,62,2.88493,11,1252,26.796,1.37922
"COG0053",0.236559369459812,0.963561474140601,0.889925504816718,0.210179640718563,702,3380,183.11,503.337,27.5,9.13062,18,1478,76.477,2.81545
"COG0055",1,1,1,0.266583674195269,1499,5648,96.9727,0,66.1,3.9844,24,1512,27.1702,1.40214
"COG0057",1,1,1,0.255746485159563,1146,4530,134.516,0,43.3,6.80949,14,1761,51.543,2.6218
"COG0059",1,1,1,0.126855018587361,853.1,6833,55.2975,161.0407,50.4,5.13636,15,1262,26.4727,1.42665
"COG0081",1,1,1,0.278046594982079,620.6,2251,39.8269,217.2721,48.2,2.74335,37,1534,22.9319,1.25997
"COG0084",1,1,1,0.301601642710472,734.4,2598,177.286,405.2491,45.3,6.30996,20,1746,72.8629,3.33434
"COG0098",0.550853243728819,1,0.865255973118646,0.176972184222526,388.1,2228,50.0965,243.0706,47.2,4.05807,31,1374,30.9094,1.89685
"COG0104",0.964897214588456,1,0.985963223322075,0.418272775144813,794.3,1980,68.3111,183.7064,57.2,3.16541,23,1312,26.2324,1.62231
"COG0107",0.910384596996996,1,0.973115379099099,0.1891240446796,321.7,1721,26.2022,153.9099,60.9,2.89036,19,1248,25.619,1.29467
"COG0111",0.67229091677381,1,0.934458183354762,0.268136390358613,912.2,3522,148.036,388.7532,41,6.83465,19,1606,66.8251,2.72081
"COG0124",0.805358085794941,1,0.943840654598924,0.510200129115558,1580.6,3418,366.12,0,44.3,6.39498,24,1521,47.252,2.47675
"COG0129",1,1,1,0.223016496465043,283.9,1282,23.9506,171.071,53.3,3.31159,13,1303,22.2525,2.14658
"COG0130",1,1,1,0.327769625825385,893.5,2972,119.108,383.8945,43.6,5.99862,22,1616,57.3612,1.95862
"COG0131",0.866369978349771,1,0.933184989174886,0.20734693877551,558.8,2778,53.8113,217.2446,51.4,3.93585,15,1202,36.9005,1.6992
"COG0138",1,1,1,0.322741147741148,1057.3,3369,119.136,177.5512,54.6,4.3066,15,1343,32.6546,2.27053
"COG0141",0.765739269398147,1,0.966004677524755,0.24875745526839,1001,4110,53.7269,254.4749,49.9,4.66559,20,1373,35.7857,1.96235
"COG0143",1,1,1,0.278384201077199,1550.6,5610,247.02,0,30.4,12.2977,23,1938,83.6451,5.61351
"COG0153",1,1,1,0.257835080759422,909.9,3696,112.742,201.4039,42.8,5.88046,12,771,39.6776,2.85773
"COG0157",1,1,1,0.306649395509499,355.1,1284,20.6575,208.6562,52.6,2.14893,19,1226,14.9111,1.72787
"COG0164",0.417235970495586,1,0.8312823492132,0.251817716333845,491.8,2186,128.53,541.8144,50.4,6.22898,18,1747,64.8808,3.57238
"COG0165",0.833545118033796,1,0.960852002556741,0.224938875305623,276,1243,33.3798,252.1309,48.8,3.78694,18,1394,26.8246,3.12836
"COG0166",0.951723602580226,1,0.98068944103209,0.255861627162076,798.8,3142,119.726,497.3315,33.3,7.57686,15,1632,52.717,2.08892
"COG0178",0.84581238537946,1,0.97907582230773,0.322414971799692,3772.9,11945,1192.61,208.9898,58.6,10.3003,13,1522,69.7262,1.86742
"COG0187",1,1,1,0.287215650591447,1893.9,6716,243.166,0,55.4,8.58012,23,1590,62.6473,2.40222
"COG0188",1,1,1,0.252416321925536,2684.7,10755,238.371,0,53.6,8.60014,23,1534,56.7296,1.76835
"COG0190",0.0312385625616832,0.79103213535077,0.319234316877511,0.368692786525082,1006.9,2863,269.942,276.0988,55.1,5.43908,10,1456,74.1536,1.86336
"COG0192",0.122361714272362,1,0.912236171427236,0.32355623100304,851.6,2677,120.447,144.7616,65.3,2.91476,26,1355,34.5124,0.77158
"COG0195",0.986560358704002,1,0.9973120717408,0.298842592592593,1549.2,5287,140,215.2199,44.5,6.38431,23,1285,49.8295,1.86682
"COG0196",0.724334212465922,1,0.972433421246592,0.166080240291783,774.1,4898,204.185,497.7896,38.1,9.11523,15,1622,93.5164,2.63595
"COG0206",1,1,1,0.214711769415532,1072.7,5080,115.268,207.4528,53.9,4.92257,21,1202,47.6773,1.62385
"COG0215",0.978324500293522,1,0.997832450029352,0.205116894574327,465,2461,59.6957,277.0947,53.2,3.12203,22,1604,25.5963,1.68957
"COG0217",1,1,1,0.225074096028453,379.7,1745,35.1082,186.7327,48.1,3.44047,21,1325,29.5553,1.6509
"COG0223",0.643440402745559,1,0.839322044682959,0.242743902439024,398.1,1661,66.8673,0,43.4,4.2021,17,1712,52.2176,1.97771
"COG0224",1,1,1,0.218418418418418,436.4,2043,54.7234,239.545,42.7,5.04896,16,1341,36.869,2.08959
"COG0248",0.198635407244106,1,0.744742524943993,0.197496122313317,891.3,4640,190.38,455.6585,31.2,10.9117,13,1262,83.988,3.39762
"COG0250",0.947696677964896,1,0.984309003389469,0.295566666666667,886.7,3133,83.4312,0,36.5,6.08133,26,1498,54.8052,2.40865
"COG0253",1,1,1,0.314520688768954,1223.8,4163,217.241,231.2312,48.9,5.56249,10,1223,57.0647,2.07036
"COG0263",1,1,1,0.196392030156166,364.7,1922,52.6945,188.2593,51.8,3.86808,19,1087,35.6715,1.94596
"COG0264",0.823065933661084,1,0.904459222891212,0.239447731755424,728.4,3067,164.566,449.9265,35.8,8.38661,17,1621,74.8482,2.64157
"COG0272",0.103421747794788,1,0.881300184895021,0.232606855691917,1099.3,4970,130.276,324.6076,47.7,5.89359,20,1601,62.1871,1.61276
"COG0275",1,1,1,0.301031411157993,642.1,2205,58.4272,0,53.9,3.52342,20,1545,32.7075,1.63944
"COG0282",0.805176008686136,1,0.896342200617888,0.351115329852871,739.8,2138,155.052,242.4031,51,4.01826,17,1229,45.9326,1.619
"COG0283",0.274580294918361,1,0.843680267651128,0.24642719196601,638,2656,161.209,301.1403,46.5,5.59005,13,1334,50.3647,2.07211
"COG0289",1,1,1,0.224444444444444,282.8,1321,20.957,317.1614,40.4,4.28133,17,1504,39.1222,3.26558
"COG0305",0.570554213188918,1,0.957055421318892,0.263671607753706,1156.2,4703,291.19,0,44,7.00549,23,1503,86.4065,1.63868
"COG0313",1,1,1,0.327222222222222,824.6,2622,71.2825,352.6246,46.3,4.78785,15,1564,53.216,1.84462
"COG0317",1,1,1,0.331775438596491,2363.9,7381,260.235,219.5537,50,6.8809,18,1313,55.6832,1.70182
"COG0322",0.058432406810417,1,0.905843240681042,0.26484295845998,1307,5102,167.545,300.9304,42.2,6.25313,21,1521,62.9818,1.69333
"COG0324",0.950555739865629,1,0.985166721959689,0.316416978776529,506.9,1662,119.599,325.7584,49,3.6811,19,1527,45.9339,1.49495
"COG0329",1,1,1,0.193976880957209,956.5,5100,175.549,428.5453,41.9,9.71822,18,1731,91.6189,2.4512
"COG0336",0.635596154225219,1,0.744917307957653,0.213668466971334,514.3,2552,38.1086,241.8602,50.3,3.12458,21,1422,29.6538,1.28018
"COG0352",1,1,1,0.189954337899543,624,3354,235.715,779.1281,29.9,13.9377,16,1569,123.836,4.41638
"COG0358",0.633214739155976,1,0.932104371028526,0.285115159848745,1658.8,6058,370.845,590.1567,34.6,10.4426,20,1723,111.136,2.75555
"COG0370",1,1,1,0.312689578405454,2247.3,7359,382.976,237.5001,40.2,8.60024,8,1021,64.765,1.76261
"COG0379",1,1,1,0.216907051282051,541.4,2619,38.8315,173.8177,46.4,3.59655,15,1073,23.8627,2.04561
"COG0395",1,1,1,0.238378800848562,6405,27791,2962.03,332.6705,32.5,30.0081,6,1036,165.945,2.03616
"COG0396",1,1,1,0.333047735618115,1088.4,3391,61.313,146.068,56.4,4.09247,18,1111,24.5616,1.38526
"COG0410",1,1,1,0.267775831873905,917.4,3595,230.859,175.5698,53.4,4.16723,11,825,41.5272,1.2727
"COG0422",0.9273852258373,1,0.985702031575215,0.199941871730285,1031.9,5188,68.3661,157.4426,58.8,5.05692,18,1019,28.9098,2.19577
"COG0423",0.977208122986756,1,0.997720812298676,0.231486146095718,1286.6,5601,157.386,245.2443,38,4.87219,19,783,39.426,2.52278
"COG0436",1,1,1,0.294206008583691,822.6,2891,473.133,435.4155,35.6,8.75246,12,1828,90.0109,1.85358
"COG0438",0.311297418668112,1,0.668754153629288,0.413542483660131,1581.8,4132,1881.03,657.4351,28,20.7569,10,1599,262.869,2.59616
"COG0444",0.0315419941377107,1,0.903154199413771,0.212960071380772,1909.4,9321,627.408,261.8438,53,11.9065,15,1141,89.0302,1.48408
"COG0460",1,1,1,0.278030859662013,1513.6,5692,211.287,336.573,42.3,9.22421,15,1305,68.0599,2.45121
"COG0463",0.265414183668629,1,0.632707091834314,0.423196471700095,4030.1,10447,5074.18,958.1138,36.1,40.0825,9,1899,422.396,2.78257
"COG0465",1,1,1,0.243895747599451,1955.8,8107,283.959,0,56.6,6.44448,19,1452,54.5682,1.43352
"COG0488",1,1,1,0.24705057410816,5637.2,23473,921.166,336.8773,41.2,23.0733,10,1602,120.686,2.34901
"COG0489",0.964295464887001,1,0.9892886394661,0.356313775510204,1117.4,3226,126.62,0,47.9,4.13194,20,1557,44.7191,1.75175
"COG0492",0.384599224289882,1,0.852419403658875,0.287089108910891,724.9,2969,225.259,0,51.3,4.15966,17,1550,63.7993,1.034
"COG0497",0.15400480273453,1,0.746201440820359,0.218238691049086,453.5,2094,92.5305,388.7976,38,5.61668,19,1468,66.194,2.0608
"COG0505",1,1,1,0.299564902102973,413.1,1417,29.0677,190.396,56.7,2.60989,20,1345,25.4525,1.62409
"COG0514",0.646591208348135,1,0.964659120834813,0.290844332704798,1388.2,4892,297.166,278.3711,52,7.53556,11,1161,68.6153,1.75276
"COG0516",0.0309025416545231,1,0.127812287489071,0.21588785046729,831.6,3927,55.3846,270.8752,51.6,4.22851,26,1604,30.7952,1.49272
"COG0520",1,1,1,0.304823747680891,1478.7,5100,232.183,400.0132,42.8,5.60082,13,1591,65.497,1.99403
"COG0524",0.775459263672518,0.964281314738758,0.898637022464738,0.398187311178248,2240.6,6510,1211.06,468.9437,35,17.5555,18,1637,159.28,2.94147
"COG0540",0.94835610367504,1,0.994835610367504,0.23593085860017,832.6,3617,75.3544,211.0827,47.8,4.70483,22,1381,33.7575,1.52372
"COG0541",1,1,1,0.250864197530864,304.8,1279,30.8771,206.2339,51.4,2.432,30,1513,26.5462,1.37025
"COG0552",0.93226181004589,1,0.975566002094523,0.329863301787592,1568.5,4989,126.919,264.3338,53.9,4.29493,24,1499,38.3264,1.32653
"COG0556",0.963196439410687,1,0.988958931823206,0.19918228958915,998.7,5025,88.5629,157.5636,63.6,3.95894,26,1427,35.3461,1.00895
"COG0561",-0.0373704141161831,1,0.551102845078311,0.317127564674398,3555,12593,1844.2,529.7053,36,24.5108,9,1584,204.859,2.08466
"COG0564",0.361900782184904,1,0.680934556693921,0.283791606367583,1568.8,5953,687.013,518.58,47.4,14.2268,19,1738,113.972,2.59332
"COG0566",0.193550153307052,1,0.919355015330705,0.283171819720043,1840.9,7300,379.259,0,41.9,14.9709,15,1674,96.4146,3.093
"COG0569",0.462060533864167,1,0.601834652947639,0.282154996600952,1660.2,6102,803.741,361.3274,29.9,14.933,10,1290,122.901,2.98684
"COG0571",0.725732819012005,1,0.918790252423787,0.173146708138932,334,2006,64.6528,401.8627,43.9,5.03342,17,1388,50.466,2.56951
"COG0577",1,1,1,0.335725728933034,3143.4,10924,2440,538.2818,28.7,26.0592,8,1396,171.233,2.86265
"COG0586",0.743284442746649,1,0.949422128370905,0.315648066135223,1069.1,3611,91.3923,414.8436,31.9,8.88886,9,1240,62.5139,3.70857
"COG0593",0.589116315119114,1,0.6767421448418,0.198238880108377,878,4475,124.315,256.1894,45.8,7.12773,21,1183,58.4308,2.03786
"COG0595",0.84387531036364,1,0.937550124145456,0.30515393386545,1338.1,4704,179.533,171.3006,47.3,5.29997,14,971,49.7796,1.84638
"COG0601",1,1,1,0.136646661665416,364.3,2724,144.756,437.995,35.9,9.14972,11,1441,92.9913,2.76745
"COG0606",0.152234341591237,1,0.831821341483489,0.131303090547623,726.5,5576,158.575,295.3236,48.6,6.56537,21,1267,61.9663,1.98901
"COG0609",0.0938002499591394,1,0.703571729414683,0.263421099134123,1490.7,5758,340.362,403.8967,41.5,13.2536,13,1383,115.047,2.21594
"COG0610",1,1,1,0.284476731483504,2604.1,9372,442.248,313.4172,29.9,15.3893,10,1049,103.386,3.53732
"COG0613",0.964265778258211,1,0.989279733477463,0.242763157894737,701.1,3054,433.327,443.2727,35.3,10.8248,11,1082,151.694,3.41367
"COG0629",0.758229553513074,1,0.910540709888542,0.217186088527552,961.7,4507,419.603,1293.74,24,23.8981,14,2168,222.589,6.17486
"COG0653",1,1,1,0.291800757217227,2466.3,8642,282.386,204.1058,59.7,6.42531,24,1455,53.7903,1.43136
"COG0656",0.384599224289882,1,0.569219457002918,0.277399958532034,1337.9,5130,291.406,301.7626,46.5,7.8794,9,1191,76.8428,1.3489
"COG0658",0.965540167588154,1,0.975878117311708,0.241726296958855,540.5,2357,358.027,937.1302,24.5,11.9023,6,1315,118.202,5.10934
"COG0664",0.384599224289882,1,0.856023058393053,0.265895953757225,782,3121,277.833,533.3725,24.8,12.4075,17,1327,113.547,3.7726
"COG0667",1,1,1,0.179241877256318,1092.3,6514,234.972,456.6556,37.8,10.5169,15,1479,87.9485,2.75611
"COG0668",1,1,1,0.230913877397518,614,2755,115.092,549.4874,26,10.5267,14,1583,87.9215,3.79019
"COG0669",0.0807620815458589,1,0.816970801548241,0.206472684085511,347.7,1698,54.7669,264.3154,48.5,4.48109,16,1362,46.1662,1.71154
"COG0675",0.848285497728217,1,0.924142748864109,0.313786764705882,2219.1,7640,662.806,275.967,30.4,8.98085,7,674,86.6221,2.1143
"COG0679",0.143618983124633,1,0.571809491562317,0.329127212844792,1598.9,5326,382.212,500.0801,25,13.9373,13,1218,108.687,3.79671
"COG0706",0.488500691215283,1,0.948850069121528,0.296342239185751,931.7,3674,326.853,605.6253,29.7,11.5816,18,1599,119.295,3.40347
"COG0707",1,1,1,0.309819260857837,1148.5,3959,201.958,430.4366,37.9,8.20758,21,1570,73.6965,2.61512
"COG0730",0.432299581312187,1,0.676189287862628,0.34671186440678,1022.8,3384,472.939,559.3322,27,12.5744,10,1596,130.688,4.08793
"COG0735",0.784523182855034,1,0.978452318285503,0.269907578558226,730.1,2889,267.561,333.7562,35.8,11.1952,12,1252,85.7489,2.86632
"COG0737",1,1,1,0.324664830119376,1767.8,6071,619.588,421.1385,29.9,15.391,11,1132,125.61,3.26122
"COG0739",0.936044155162959,1,0.955224127211217,0.505195094760312,2265.8,5230,3945.58,713.531,34.4,28.3553,6,1406,315.051,3.03091
"COG0740",1,1,1,0.174220963172805,984,5682,355.85,787.7694,45.9,22.3902,18,1922,168.02,4.96964
"COG0744",0.660415590607493,1,0.8990288114909,0.2421156454198,1963.8,8785,888.743,305.35,39.7,11.5545,20,1260,90.0242,2.47337
"COG0747",0.488500691215283,1,0.897700138243057,0.326616989567809,3287.4,11029,3773.76,644.0623,25.1,32.2368,16,1408,297.94,2.71421
"COG0750",0.058841188832183,1,0.623536475532873,0.427708978328173,1105.2,2707,562.233,649.3827,28.7,10.8595,12,1706,138.354,2.57151
"COG0758",0.945582700384855,1,0.994558270038486,0.193562231759657,676.5,3621,227.376,376.8353,48.9,7.57519,13,1474,87.8219,2.54736
"COG0761",0.964608190326282,1,0.992921638065256,0.180742095636269,691.7,3923,92.4402,203.4016,45.3,4.97269,22,1118,39.1535,2.14306
"COG0765",0.240235332782415,1,0.701129903290209,0.194985590778098,338.3,1751,81.205,309.2153,38.2,6.0038,10,1226,68.3565,2.16658
"COG0766",1,1,1,0.272581934452438,1364,5192,129.163,213.3844,50,5.35383,18,1385,45.7699,2.44856
"COG0768",0.0309258823270477,1,0.575337481453562,0.314128980465614,1173.9,4018,874.476,0,33.9,13.8046,16,1663,152.967,2.93421
"COG0770",1,1,1,0.209433962264151,732.6,3718,293.527,0,41,7.93235,15,1620,88.3857,2.32363
"COG0771",0.811176381325251,1,0.954323182283362,0.27296372347707,398.8,1576,68.0752,274.7751,47.2,4.46087,18,1442,42.98,2.21084
"COG0772",1,1,1,0.200374444184414,856.2,4400,294.813,469.9809,36.3,11.7903,11,1599,105.921,3.11246
"COG0778",0.384599224289882,1,0.887309991550516,0.412299168975069,744.2,2432,459.255,503.1916,28.2,11.2191,10,1498,114.814,3.05427
"COG0787",1,1,1,0.314374464438732,1467.5,4998,319.556,345.2511,44.4,7.40896,15,1507,85.7862,2.04116
"COG0791",0.384599224289882,1,0.800048604070421,0.49463240905622,1944.4,5005,3761.67,604.451,38.8,23.6942,8,1119,243.035,3.1633
"COG0796",0.341447299916201,1,0.930788808278029,0.187829854273336,476.9,2586,57.5149,374.1876,37.2,6.19311,11,1385,54.3376,2.88715
"COG0799",1,1,1,0.198704503392967,322.1,1675,39.9692,440.3073,34.4,5.15885,18,1452,50.472,2.59823
"COG0802",0.876870585418413,0.978563933443262,0.904809506932039,0.348296593186373,521.4,1616,60.4715,349.1355,46,4.46417,8,1370,43.1745,2.51778
"COG0803",0.621417930067479,1,0.832317033722421,0.259579131959667,1184.2,4888,306.363,466.6976,27.4,10.3366,8,1369,86.836,3.77554
"COG0826",0.896967050730309,1,0.927876935511216,0.250045882083047,2179.9,9101,429.972,190.8581,43,10.9557,14,909,77.0075,1.84239
"COG0834",1,1,1,0.330163934426229,4330.1,14491,1918.13,457.7268,31.9,26.3896,10,1438,199.377,2.54441
"COG0840",0.495993766789548,1,0.763227360446533,0.251700191570881,1051.1,4200,1229.97,677.2717,26.7,13.5517,11,1093,178.49,3.29938
